username,location,description
@BobidDams,jakarta capital region,industrial engineering of pancasila university   industrial management of bogor agricultural university   wilmar chemical indonesia   #viscabarã§a
@GrandIndo,jakarta  indonesia,official account of grand indonesia a one-stop shopping for everyone  ph: +62  21  23580001 2
@persisofficial,surakarta  jawa tengah,official account of persis solo  #laskarsambernyawa
@hamsil_,,i am you
@chrisryantonius,,
@diphabarus,bali  indonesia,@ponyourtone â€” booking inquiries : +62 878-8216-7715
@awkarin,,manusia biasa yang sedang bertumbuh dan berproses 
@claritangl,indonesia,fasilkom ui 2014
@its_campus,kota surabaya  jawa timur,official account institut teknologi sepuluh nopember  mohon support dan bantuannya akun sedang dalam pemulihan sobat kampus! 
@tatag57,jakarta,be grateful 
@ctupa7,depok  indonesia,ctupa7@gmail com
@heyndii,bandung  jawa barat,
@finafini,banda aceh,do what u like
@Haikal_Senpai,somewhere over the rainbow : ,reverse psychology is the ultimate sarcasm
@AnrioMarfizal,jakarta,konsultan remaja terbaik!!!!
@DemokratDIY,,akun resmi dpd partai demokrat daerah istimewa yogyakarta ðÿ‡®ðÿ‡©
@AbiyouAkmal,kompas maritim,kalau hidup penuh pilihan  sekarang saatnya memilih!
@KakNaufal,indonesia,x marks the spot
@otoridercom,,
@Lady6igi,world,nagita slavina official account
@NStevani,find me,happy life! love jesus forever! instagram stevaninepa   cp :icha-headline +6285780994906
@ComlineJkt,stasiun dan rel commuterline,bukan akun dari commuter line - berbagi cerita: kritik saran info pujian celotehan umpatan sinis  kalo menjilat jangan  dll tentang commuter line 
@BurhanMuhtadi,canberra,indonesian political indicator   state islamic university jakarta   australian national university   writer   researcher   lecturer   burhanmuhtadi@gmail com
@hajidlukito,jakarta capital region  indonesia,engineer'17
@igoyart,,my spirit animal is a bear because we share common hobby  hibernate 
@MIC_UI,depok  indonesia,official twitter account of microsoft innovation center universitas indonesia  an incubator for potential it entrepreneurs   professionals 
@ekaaaa__,tomohon  sulawesi utara,24th
@fitris,lyon  france,i use this account to spread kindness!
@ilhamfarizi_,,
@dimsanggara,,be a good boy contact person : boy @boyrianto
@pongkibarata,,season   new album   is out now !
@dmsrmdnt,,poor and faithless
@bucenfldg_,,sibuk banget  fan account sayang anak-anak ku eunsangieee
@indraherlambang,jakarta capital region  indonesia,tv host â€¢ master of ceremony â€¢ writer
@adityasandoyo,tangerang  indonesia,do you think what i am thinking?
