contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,followers_count,friends_count,geo_enabled,id_str,name,notifications,profile_background_color,profile_link_color,profile_location,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,url,verified,username,isaPerson
FALSE,08/02/2015 0:32,TRUE,FALSE,,,1,16858,6,FALSE,"3,02E+09",OtoDriver,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,otodriver,17695,,FALSE,@otodriver,nonperson
FALSE,07/07/2009 13:13,FALSE,FALSE,Markas Pusat Palang Merah Indonesia | Jalan Jendral Gatot Subroto Kav. 96 Jakarta 12790 | Tlp: 021-7992325 | Email: pmi@pmi.or.id,,2247,1033888,1235,TRUE,54541128,Indonesian Red Cross,FALSE,FAE2BE,DD2E44,,FFFFFF,F5BACB,333333,TRUE,FALSE,palangmerah,53538,https://t.co/mx3e3UYXPi,TRUE,@palangmerah,nonperson
FALSE,16/11/2011 10:36,FALSE,FALSE,Ada diskon setiap hari cek di aplikasi #PegipegiYuk~,,1439,46217,36,TRUE,"4,14E+08",Pegipegiyuk,FALSE,F7941D,F26522,,0,FFFFFF,333333,TRUE,FALSE,pegipegi,35329,https://t.co/lP16dITceB,TRUE,@pegipegi,nonperson
FALSE,13/04/2008 03:30,FALSE,FALSE,#Ngahiji Menang Bersama! Download #PERSIBApp ðŸ“² https://t.co/1c09pcurc4,,1464,3502961,90,TRUE,14372726,PERSIB,FALSE,B4BAD4,0088FF,,FFFFFF,FFF7CC,0C3E53,TRUE,FALSE,persib,46556,https://t.co/hqHLwIrxfY,TRUE,@persib,nonperson
FALSE,19/09/2014 03:05,FALSE,FALSE,Akun Resmi | Dikelola Subbaghumas | Call Center Polri: 110 | SIAGA: 0274-543920 | WA- Aduan Online: 08988835689,,316,26707,204,TRUE,"2,82E+09",POLRESTA YOGYAKARTA,FALSE,0,0000FF,,0,0,0,FALSE,FALSE,polresjogja,9204,https://t.co/XrZB8YcypN,TRUE,@polresjogja,nonperson
FALSE,03/10/2013 5:53,FALSE,FALSE,Mostly retweet jokes and data-related topic. Melancholic.,,836,601,566,FALSE,"1,93E+09",putrahadisyah,FALSE,C78C34,00B330,,FFFFFF,DDEEF6,333333,TRUE,FALSE,ngiqiq,8046,https://t.co/RkXWLVg1nl,FALSE,@ngiqiq,person
FALSE,01/12/2011 22:44,FALSE,FALSE,Wear a face mask save lives!,,5964,1404,406,FALSE,"4,26E+08",Fariz Darari,FALSE,131516,0,,FFFFFF,EFEFEF,333333,TRUE,FALSE,mrlogix,6697,,FALSE,@mrlogix,person
FALSE,27/03/2013 10:31,FALSE,FALSE,Akun Resmi Presiden Ke-6 RI (2004-2014) Susilo Bambang Yudhoyono. Dikelola oleh Staf Pribadi. Twit dari Susilo Bambang Yudhoyono ditandai *SBY*,,1,10216281,123,FALSE,"1,31E+09",S. B. Yudhoyono,FALSE,03193B,050D40,,0,DDEEF6,333333,TRUE,FALSE,SBYudhoyono,4899,,TRUE,@SBYudhoyono,person
FALSE,29/09/2009 05:14,TRUE,FALSE,Manusia ganteng stok terakhir yang manisnya alami tanpa pemanis buatan..,,947,3102567,618,TRUE,78223605,Denny Cagur,FALSE,C0DEED,1DA1F2,,C0DEED,DDEEF6,333333,TRUE,FALSE,DennyCagur,27630,https://t.co/JcXJigsh49,FALSE,@DennyCagur,person
FALSE,24/08/2009 10:15,FALSE,FALSE,plastic surgery // klinik beyoutiful jl pakubuwono 6 no 5a telp 021 7211025,,3281,1127825,212,FALSE,68376019,dr tompi spBP,FALSE,131516,9999,Jakarta Capital Region,EEEEEE,EFEFEF,333333,TRUE,FALSE,dr_tompi,26586,,FALSE,@dr_tompi,person
FALSE,19/02/2009 05:10,FALSE,FALSE,Promo dan Event Kota Medan Indonesia,,26,18027,58,TRUE,21277943,Medan Talk,FALSE,FFFFFF,2238B5,,20500,F78503,333333,TRUE,FALSE,medantalk,23935,https://t.co/47gZIVneoo,FALSE,@medantalk,nonperson
FALSE,27/12/2011 09:46,FALSE,FALSE,Harian Umum Independen Singgalang Jl.Veteran No.17 Padang 25116 Telepon: (0751) 25001 36923 Fax: (0751) 33572 https://t.co/LCntEiJHxb,,7,15724,122,FALSE,"4,48E+08",Singgalang/Topsatu,FALSE,943D3D,CC3366,,FFFFFF,291015,E88205,TRUE,FALSE,KoranSinggalang,38082,https://t.co/LCntEiJHxb,FALSE,@KoranSinggalang,nonperson
FALSE,14/04/2011 18:54,FALSE,FALSE,#news #info #pariaman #event #niaga #kuliner #wisata dll. Yang mau kasih info silahkan mention ke @InfoPariaman #InfoPariaman,,1,11764,2059,TRUE,"2,82E+08",Pariaman Sekitarnya,FALSE,141414,0084B4,,85969E,171617,F5F5F5,FALSE,FALSE,InfoPariaman,17661,,FALSE,@InfoPariaman,nonperson
